year;month;day;tmax;tmin;prcp
2010;08;12;NaN;NaN;  168  
2010;08;13;  298  ;  165  ;  168  
2010;08;14;NaN;NaN;  185  
2010;08;15;NaN;NaN;    0  
2010;08;17;NaN;NaN;  132  
2010;08;18;NaN;NaN;  193  
2010;08;20;NaN;NaN;  117  
2010;08;21;NaN;NaN;   51  
2010;08;22;NaN;NaN;  145  
2010;08;23;  264  ;  150  ;    0  
2010;08;24;NaN;NaN;    0  
2010;08;25;  297  ;  156  ;    0  
2010;08;26;NaN;NaN;  432  
2010;08;28;NaN;NaN;   64  
2010;08;29;  280  ;  153  ;  188  
2010;08;30;NaN;NaN;    0  
2010;08;31;  254  ;  154  ;    0  
2010;09;01;NaN;NaN;  185  
2010;09;02;NaN;NaN;   56  
2010;09;03;NaN;NaN;   13  
2010;09;04;NaN;NaN;  175  
2010;09;05;NaN;NaN;    0  
2010;09;06;NaN;NaN;  277  
2010;09;07;NaN;NaN;    0  
2010;09;08;NaN;NaN;  345  
2010;09;09;NaN;NaN;  391  
2010;09;10;NaN;NaN;  353  
2010;09;11;NaN;NaN;   23  
2010;09;12;NaN;NaN;    0  
2010;09;14;NaN;NaN;  119  
2010;09;15;NaN;NaN;    0  
2010;09;17;NaN;NaN;   48  
2010;09;18;NaN;NaN;   10  
2010;09;19;NaN;NaN;    0  
2010;09;20;NaN;NaN;  361  
2010;09;21;NaN;NaN;    0  
2010;09;22;NaN;NaN;    0  
2010;09;23;NaN;NaN;   15  
2010;09;24;NaN;NaN;  147  
2010;09;25;NaN;NaN;   18  
2010;09;26;NaN;NaN;    0  
2010;09;27;NaN;NaN;    0  
2010;09;28;NaN;NaN;    0  
2010;09;29;NaN;NaN;    0  
2010;09;30;NaN;NaN;    0  
2010;10;01;NaN;NaN;    0  
2010;10;02;NaN;NaN;    0  
2010;10;04;NaN;NaN;    0  
2010;10;05;  270  ;  140  ;    0  
2010;10;06;NaN;NaN;    0  
2010;10;07;  281  ;  129  ;    0  
2010;10;08;NaN;NaN;    0  
2010;10;09;NaN;NaN;    0  
2010;10;10;NaN;NaN;    0  
2010;10;11;NaN;NaN;    0  
2010;10;12;NaN;NaN;    0  
2010;10;13;NaN;NaN;    0  
2010;10;14;  295  ;  130  ;    0  
2010;10;15;  287  ;  105  ;    0  
2010;10;16;NaN;NaN;    0  
2010;10;17;NaN;NaN;    0  
2010;10;18;NaN;NaN;    0  
2010;10;19;NaN;NaN;    0  
2010;10;20;NaN;NaN;    0  
2010;10;21;NaN;NaN;    0  
2010;10;22;NaN;NaN;    0  
2010;10;23;NaN;NaN;    0  
2010;10;26;NaN;NaN;    0  
2010;10;27;NaN;NaN;    0  
2010;10;28;  312  ;  150  ;    0  
2010;10;29;NaN;NaN;    0  
2010;10;30;NaN;NaN;    0  
2010;10;31;NaN;NaN;    0  
2010;11;01;NaN;NaN;    0  
2010;11;02;  313  ;  163  ;    0  
2010;11;04;  272  ;  120  ;    0  
2010;11;05;  263  ;   79  ;    0  
2010;11;06;NaN;NaN;    0  
2010;11;08;NaN;NaN;    0  
2010;11;09;NaN;NaN;    0  
2010;11;10;NaN;NaN;    0  
2010;11;11;NaN;NaN;    0  
2010;11;12;NaN;NaN;    0  
2010;11;13;NaN;NaN;    0  
2010;11;16;NaN;NaN;    0  
2010;11;17;NaN;NaN;    0  
2010;11;18;NaN;NaN;    0  
2010;11;19;NaN;NaN;    0  
2010;11;22;NaN;NaN;    0  
2010;11;23;NaN;NaN;    0  
2010;11;24;NaN;NaN;    0  
2010;11;25;NaN;NaN;    0  
2010;11;26;  281  ;  121  ;    0  
2010;11;27;  277  ;  142  ;    0  
2010;11;30;NaN;NaN;    0  
2010;12;01;  299  ;  138  ;    0  
2010;12;02;NaN;NaN;    0  
2010;12;03;NaN;NaN;    0  
2010;12;06;  278  ;  105  ;    0  
2010;12;07;NaN;NaN;    0  
2010;12;08;NaN;NaN;    0  
2010;12;09;NaN;NaN;    0  
2010;12;10;NaN;NaN;    0  
2010;12;11;NaN;NaN;    0  
2010;12;14;NaN;NaN;    0  
2010;12;15;NaN;NaN;    0  
2010;12;16;NaN;NaN;    0  
2010;12;17;NaN;NaN;    0  
2010;12;19;NaN;NaN;    0  
2010;12;21;NaN;NaN;    0  
2010;12;23;NaN;NaN;    0  
2010;12;24;NaN;NaN;    0  
2010;12;28;NaN;NaN;    0  
2010;12;29;NaN;NaN;    0  
2010;12;30;NaN;NaN;    0  
2010;12;31;NaN;NaN;    0  
